SorterName,SiteName,ID,Urban,Species,Type,Number,,,,,
Kacie,Barlow,B09,0,PSME,Seed,1,,,,,
Kacie,Barlow,B09,0,THPL,Seed,37,,,,,
Kacie,Barlow,B09,0,ACMA,Seed,1,,,,,
Kacie,Barlow,B09,0,ALRU,Seed,44,,,,,
Kacie,Barlow,B09,0,ALRU,Cone,4,,,,,
Kacie,Barlow,B010,0,PSME,Seed,5,,,,,
Kacie,Barlow,B010,0,THPL,Seed,11,,,,,
Kacie,Barlow,B010,0,ABsp,Seed,1,,,,,
Kacie,Barlow,B010,0,ACMA,Seed,7,,,,,
Kacie,Barlow,B010,0,ALRU,Seed,1,,,,,
Kacie,Barlow,B010,0,THPL,Cone,12,,,,,
Kai,Barlow,B42,0,TSHE,Seed,2,,,,,
Kai,Barlow,B42,0,PSME,Seed,3,,,,,
Kai,Barlow,B42,0,ACMA,Seed,1,,,,,
Kai,Barlow,B42,0,ALRU,Seed,2,,,,,
Kai,Barlow,B011,0,TSHE,Seed,5,,,,,
Kai,Barlow,B011,0,PSME,Seed,1,,,,,
Kai,Barlow,B011,0,THPL,Seed,1,,,,,
Kai,Barlow,B011,0,ABsp,Seed,1,,,,,
Kai,Barlow,B011,0,ACMA,Seed,1,,,,,
Kai,Barlow,B011,0,ALRU,Seed,1,,,,,
Kai,Barlow,B011,0,TSHE,Cone,1,,,,,
Kai,Barlow,B011,0,THPL,Cone,1,,,,,
Kacie,Barlow,B14,0,PSME,Seed,9,,,,,
Kacie,Barlow,B14,0,THPL,Seed,3,,,,,
Kacie,Barlow,B14,0,ABsp,Seed,8,,,,,
Kacie,Barlow,B14,0,THPL,Cone,5,,,,,
Kai,Barlow,B013,0,TSHE,Seed,4,,,,,
Kai,Barlow,B013,0,PSME,Seed,7,,,,,
Kai,Barlow,B013,0,THPL,Seed,2,,,,,
Kai,Barlow,B013,0,ABsp,Seed,1,,,,,
Kai,Barlow,B013,0,ACMA,Seed,10,,,,,
Kai,Barlow,B013,0,ALRU,Seed,2,,,,,
Kai,Barlow,B013,0,TSHE,Cone,2,,,,,
Kai,Barlow,B013,0,THPL,Cone,3,,,,,
Kacie,Forest Park,F45,1,ACMA,Seed,30,,,,,
Mila,Forest Park,F49,1,THPL,Seed,3,,,,,
Mila,Forest Park,F49,1,ACMA,Seed,50,,,,,
Mila,Forest Park,F49,1,THPL,Cone,2,,,,,
Kacie,Forest Park,F43,1,THPL,Seed,1,,,,,
Kacie,Forest Park,F43,1,ACMA,Seed,8,,,,,
Kacie,Forest Park,F43,1,TSHE,Cone,1,2 PSME cone scales,,,,
Kai,Forest Park,F47,1,PSME,Seed,1,,,,,
Kai,Forest Park,F47,1,ABsp,Seed,1,,,,,
Kai,Forest Park,F47,1,ACMA,Seed,10,,,,,
Kai,Forest Park,F48,1,PSME,Seed,1,,,,,
Kai,Forest Park,F48,1,THPL,Seed,1,,,,,
Kai,Forest Park,F48,1,ABsp,Seed,1,,,,,
Kai,Forest Park,F48,1,ACMA,Seed,80,,,,,
Kai,Forest Park,F48,1,ALVI,Seed,2,,,,,
Kai,Forest Park,F44,1,PSME,Seed,1,,,,,
Kai,Forest Park,F44,1,ACMA,Seed,21,,,,,
Kai,Forest Park,F44,1,ALRU,Seed,21,,,,,
Kacie,Lacamas,L22,1,TSHE,Seed,1,,,,,
Kacie,Lacamas,L22,1,ABsp,Seed,2,,,,,
Kacie,Lacamas,L22,1,ACMA,Seed,16,,,,,
Kacie,Lacamas,L22,1,ALVI,Seed,1,,,,,
Mila,Lacamas,L41,1,THPL,Seed,1,,,,,
Mila,Lacamas,L41,1,ACMA,Seed,2,,,,,
Mila,Lacamas,L41,1,ALRU,Seed,1,,,,,
Mila,Lacamas,L41,1,Unknown,Seed,1,"""Unknown seed is the size ? TSHE. Black hard coating i soft white fizz inside""",,,,
Mila,Lacamas,L12,1,TSHE,Seed,2,,,,,
Mila,Lacamas,L12,1,PSME,Seed,2,,,,,
Mila,Lacamas,L12,1,ACMA,Seed,13,,,,,
Mila,Lacamas,L12,1,ALRU,Seed,2,,,,,
Mila,Lacamas,L12,1,THPL,Cone,2,,,,,
Kai,Lacamas,L33,1,TSHE,Seed,1,,,,,
Kai,Lacamas,L33,1,PSME,Seed,3,,,,,
Kai,Lacamas,L33,1,ABsp,Seed,1,,,,,
Kai,Lacamas,L33,1,ACMA,Seed,15,,,,,
Kacie,Lacamas,L7,1,PSME,Seed,1,,,,,
Kacie,Lacamas,L7,1,ACMA,Seed,1,,,,,
Kacie,Lacamas,L7,1,ACCI,Seed,1,,,,,
Kacie,Lacamas,L7,1,ALRU,Seed,3,,,,,
Kai,Lacamas,L5,1,TSHE,Seed,4,,,,,
Kai,Lacamas,L5,1,PSME,Seed,1,,,,,
Kai,Lacamas,L5,1,ACMA,Seed,4,,,,,
Kai,Lacamas,L5,1,ALRU,Seed,54,,,,,
Kai,Lacamas,L5,1,THPL,Cone,5,,,,,
Mila,Marquam,MA35,1,ACMA,Seed,47,,,,,
Mila,Marquam,MA35,1,ALRU,Seed,2,,,,,
Kai,Marquam,MA30,1,ACMA,Seed,23,,,,,
Kai,Marquam,MA30,1,ALRU,Seed,67,,,,,
Kai,Marquam,MA30,1,ALVI,Seed,1,,,,,
Kai,Marquam,MA30,1,ALRU,Cone,3,,,,,
Kacie,Marquam,MA031,1,ABsp,Seed,3,,,,,
Kacie,Marquam,MA031,1,ACMA,Seed,36,,,,,
Kacie,Marquam,MA031,1,ALRU,Seed,1,,,,,
Kacie,Marquam,MA029,1,ACMA,Seed,36,,,,,
Kacie,Marquam,MA029,1,ALRU,Seed,46,,,,,
Kacie,Marquam,MA029,1,,Cone,1,some type of alder,,I wanna say ALVI????,,
Kai,Marquam,MA33,1,ACMA,Seed,20,,,,,
Kai,Marquam,MA33,1,ALRU,Seed,6,,,,,
Kai,Marquam,MA32,1,ACMA,Seed,33,,,,,
Kai,McIver,MC023,0,TSHE,Seed,2,,,,,
Kai,McIver,MC023,0,ACMA,Seed,10,,,,,
Kai,McIver,MC023,0,ALRU,Seed,1,,,,,
Kai,McIver,MC023,0,TSHE,Cone,16,,,,,
Kai,McIver,MC078,0,PSME,Seed,2,,,,,
Kai,McIver,MC078,0,THPL,Seed,2,,,,,
Kai,McIver,MC078,0,ACMA,Seed,6,,,,,
Kai,McIver,MC078,0,ALVI,Seed,1,,,,,
Kai,McIver,MC078,0,PSME,Cone,1,,,,,
Kai,McIver,MC078,0,THPL,Cone,15,,,,,
Kai,McIver,MC027,0,TSHE,Seed,6,,,,,
Kai,McIver,MC027,0,PSME,Seed,3,,,,,
Kai,McIver,MC027,0,THPL,Seed,8,,,,,
Kai,McIver,MC027,0,ABsp,Seed,2,,,,,
Kai,McIver,MC027,0,ACMA,Seed,10,,,,,
Kai,McIver,MC027,0,THPL,Cone,49,,,,,
Kai,McIver,MC026,0,TSHE,Seed,9,,,,,
Kai,McIver,MC026,0,THPL,Seed,2,,,,,
Kai,McIver,MC026,0,ACMA,Seed,28,,,,,
Kai,McIver,MC026,0,TSHE,Cone,1,,,,,
Kai,McIver,MC22,0,THPL,Seed,1,,,,,
Kai,McIver,MC22,0,ACMA,Seed,10,,,,,
Kai,McIver,MC22,0,TSHE,Cone,1,,,,,
Kai,McIver,MC024,0,TSHE,Seed,13,,,,,
Kai,McIver,MC024,0,THPL,Seed,3,,,,,
Kai,McIver,MC024,0,ACMA,Seed,20,,,,,
Kai,McIver,MC024,0,ALRU,Seed,14,,,,,
Kai,McIver,MC024,0,TSHE,Cone,6,,,,,
Kai,McIver,MC024,0,THPL,Cone,2,,,,,
Kai,McIver,MC024,0,ALRU,Cone,1,,,,,
Kai,Oxbow,O039,0,-,-,-,,Nothing found,,,
Mila,Oxbow,O042,0,TSHE,Seed,1,,,,,
Mila,Oxbow,O042,0,PSME,Seed,1,,,,,
Mila,Oxbow,O042,0,PSME,Cone,1,,,,,
Mila,Oxbow,O042,0,THPL,Cone,1,,,,,
Kacie,Oxbow,O041,0,TSME,Seed,1,,,,,
Kacie,Oxbow,O041,0,THPL,Cone,4,,,,,
Kacie,Oxbow,O037,0,PSME,Seed,2,,,,,
Kacie,Oxbow,O037,0,THPL,Seed,3,,,,,
Kacie,Oxbow,O037,0,THPL,Cone,5,,,,,
Kai,Oxbow,O040,0,ACMA,Seed,5,,,,,
Kacie,Oxbow,O038,0,THPL,Seed,1,,,,,
Kacie,Oxbow,O038,0,ACMA,Seed,10,,,,,
Kacie,Riverview,R7,1,TSHE,Seed,11,,,,,
Kacie,Riverview,R7,1,ABsp,Seed,1,,,,,
Kacie,Riverview,R7,1,ACMA,Seed,11,,,,,
Kacie,Riverview,R7,1,ALRU,Seed,2,,,,,
Kai,Riverview,R11,1,TSHE,Seed,1,,,,,
Kai,Riverview,R11,1,ACMA,Seed,28,,,,,
Kai,Riverview,R11,1,ALRU,Seed,20,,,,,
Kai,Riverview,R11,1,ALVI,Seed,4,,,,,
Kai,Riverview,R11,1,TSHE,Cone,1,,,,,
Mila,Riverview,R5,1,TSHE,Seed,4,,,,,
Mila,Riverview,R5,1,PSME,Seed,1,,,,,
Mila,Riverview,R5,1,ABsp,Seed,1,,,,,
Mila,Riverview,R5,1,ACMA,Seed,125,,,,,
Mila,Riverview,R5,1,ALRU,Seed,9,,,,,
Mila,Riverview,R5,1,THPL,Cone,2,,,,,
Mila,Riverview,R5,1,Unknown,Seed,3,,,,,
Kai,Riverview,R10,1,ACMA,Seed,27,,,,,
Kai,Riverview,R10,1,ALRU,Seed,12,,,,,
Kai,Riverview,R10,1,ALVI,Seed,1,,,,,
Kacie,Riverview,R6,1,ACMA,Seed,44,,,,,
Kacie,Riverview,R6,1,ALRU,Seed,11,,,,,
Kacie,Riverview,R6,1,ALVI,Seed,2,,,,,
Kai,Riverview,R28,1,TSHE,Seed,10,,,,,
Kai,Riverview,R28,1,THPL,Seed,1,,,,,
Kai,Riverview,R28,1,ABsp,Seed,2,,,,,
Kai,Riverview,R28,1,ACMA,Seed,20,,,,,
Kai,Riverview,R28,1,ALRU,Seed,3,,,,,
Mila,Sandy,S17,0,PSME,Seed,6,,,,,
Mila,Sandy,S17,0,ACMA,Seed,2,,,,,
Kacie,Sandy,S20,0,PSME,Seed,2,,,,,
Kacie,Sandy,S20,0,ABsp,Seed,21,,,,,
Kacie,Sandy,S20,0,ACMA,Seed,5,,,,,
Kacie,Sandy,S20,0,ALRU,Seed,19,,,,,
Kacie,Sandy,S20,0,ALVI,Seed,2,,,,,
Kai,Sandy,S16,0,TSHE,Seed,1,,,,,
Kai,Sandy,S16,0,PSME,Seed,11,,,,,
Kai,Sandy,S16,0,ACMA,Seed,2,,,,,
Mila,Sandy,S15,0,TSHE,Seed,2,,,,,
Mila,Sandy,S15,0,PSME,Seed,9,,,,,
Mila,Sandy,S15,0,Cottonwood bunch,Seed,2,,,,,
Mila,Sandy,S15,0,TSHE,Cone,2,,,,,
Mila,Sandy,S18,0,TSHE,Seed,2,,,,,
Mila,Sandy,S18,0,PSME,Seed,10,,,,,
Mila,Sandy,S18,0,ACMA,Seed,6,,,,,
Mila,Sandy,S18,0,ALRU,Seed,5,,,,,
Kacie,Sandy,S19,0,PSME,Seed,4,,,,,
Kacie,Sandy,S19,0,ABsp,Seed,14,,,,,
Kacie,Sandy,S19,0,ACMA,Seed,7,,,,,
Kacie,Sandy,S19,0,ALRU,Seed,1,,,,,
Kai,Tryon,T27,1,THPL,Seed,1,,,,,
Kai,Tryon,T27,1,ACMA,Seed,12,,,,,
Kai,Tryon,T27,1,ALRU,Seed,1,,,,,
Kai,Tryon,T27,1,ALVI,Seed,3,,,,,
Kai,Tryon,T27,1,THPL,Cone,24,,,,,
Mila,Tryon,T15,1,PSME,Seed,1,,,,,
Mila,Tryon,T15,1,ACMA,Seed,5,,,,,
Mila,Tryon,T15,1,ALRU,Seed,1,,,,,
Mila,Tryon,T15,1,Other,Seed,6,,,,,
Mila,Tryon,T40,1,ACMA,Seed,8,,,,,
Mila,Tryon,T40,1,Unknown,Seed,2,,,,,
Kacie,Tryon,T13,1,ACMA,Seed,15,,,,,
Mila,Tryon,T37,1,PSME,Seed,1,,,,,
Mila,Tryon,T37,1,ACAM,Seed,11,,,,,
Mila,Tryon,T37,1,ALRU,Seed,32,,,,,
Mila,Tryon,T37,1,ALVI,Seed,1,,,,,
Mila,Tryon,T37,1,PSME,Cone,1,,,,,
Mila,Tryon,T20,1,TSHE,Seed,2,,,,,
Mila,Tryon,T20,1,ACMA,Seed,17,,,,,
Mila,Tryon,T20,1,ALRU,Seed,9,,,,,
Mila,Tryon,T20,1,ALVI,Seed,2,,,,,
Kacie,Wildwood,W6,0,PSME,Seed,7,,,,,
Mila,Wildwood,W8,0,TSHE,Seed,3,,,,,
Mila,Wildwood,W8,0,PSME,Seed,6,,,,,
Mila,Wildwood,W8,0,ABsp,Seed,7,,,,,
Mila,Wildwood,W8,0,ACMA,Seed,3,,,,,
Mila,Wildwood,W8,0,ALRU,Seed,1,,,,,
Kai,Wildwood,W2,0,PSME,Seed,13,,,,,
Kai,Wildwood,W2,0,THPL,Seed,2,,,,,
Kai,Wildwood,W2,0,ACMA,Seed,3,,,,,
Kai,Wildwood,W2,0,ALRU,Seed,6,,,,,
Kai,Wildwood,W3,0,TSHE,Seed,2,,,,,
Kai,Wildwood,W3,0,PSME,Seed,7,,,,,
Kai,Wildwood,W3,0,ALRU,Seed,4,,,,,
Kai,Wildwood,W3,0,TSHE,Cone,1,,,,,-Kacie
Kacie,Wildwood,W4,0,PSME,Seed,2,,,,,
Kacie,Wildwood,W4,0,THPL,Seed,2,,,,,
Kacie,Wildwood,W4,0,ACMA,Seed,5,,,,,
Kacie,Wildwood,W4,0,ALRU,Seed,5,,,,,
Kacie,Wildwood,W5,0,PSME,Seed,12,,,,,
Kacie,Wildwood,W5,0,THPL,Seed,4,,,,,
Kacie,Wildwood,W5,0,ALRU,Seed,2,,,,,
Kacie,Wildwood,W5,0,PSME,Cone,2,,,,,
Kacie,Wildwood,W5,0,ACMA,Seed,1,,,,,