Date,Urban,Forest,Transect ID,Length (cm),Half circumference (cm),Half circumference (cm),Half circumference (cm),AvgCircumference,SA,Wire depth (cm),Wire depth (cm),Wire depth (cm),AvgDepth,Decay class,No. seedlings,Species of seedlings,
10/26/2021,0,McIver,41,390,35,35,33,34.33333333,13390,0,0,0,0,1,0,0,
10/26/2021,0,McIver,41,380,80,90,95,88.33333333,33566.66667,7,6,13,8.666666667,3,0,0,
10/26/2021,0,McIver,41,320,35,40,55,43.33333333,13866.66667,15,14,10,13,3,0,0,
10/26/2021,0,McIver,20,500,120,130,140,130,65000,7,8,20,11.66666667,3,0,0,
10/26/2021,0,McIver,20,500,60,90,80,76.66666667,38333.33333,12,15,20,15.66666667,3,0,0,
10/26/2021,0,McIver,20,260,34,35,40,36.33333333,9446.666667,2,2,2,2,2,0,0,
10/26/2021,0,McIver,24,680,60,80,85,75,51000,16,9,14,13,2,2 smsub,ACCI,
10/26/2021,0,McIver,24,590,85,90,75,83.33333333,49166.66667,33,7,28,22.66666667,3,0,0,
10/26/2021,0,McIver,24,550,170,150,140,153.3333333,84333.33333,3,10,31,14.66666667,4,1 CAN,TSHE,
10/26/2021,0,McIver,24,230,35,85,65,61.66666667,14183.33333,5,2,2,3,3,0,0,
10/26/2021,0,McIver,24,365,50,60,40,50,18250,20,10,21,17,5,0,0,
10/26/2021,0,McIver,24,490,40,45,45,43.33333333,21233.33333,4,5,7,5.333333333,3,0,0,
10/26/2021,0,McIver,25,440,35,60,60,51.66666667,22733.33333,23,5,17,15,2,0,0,
10/26/2021,0,McIver,25,300,50,50,50,50,15000,0,0,0,0,1,0,0,
10/26/2021,0,McIver,38,140,45,35,27,35.66666667,4993.333333,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,640,35,35,34,34.66666667,22186.66667,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,580,35,30,35,33.33333333,19333.33333,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,640,22,22,22,22,14080,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,520,70,45,37,50.66666667,26346.66667,13,0,6,6.333333333,2,0,0,
10/26/2021,0,McIver,90,760,35,30,25,30,22800,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,350,30,22,25,25.66666667,8983.333333,0,0,0,0,1,0,0,
10/26/2021,0,McIver,16,110,80,85,85,83.33333333,9166.666667,0,0,2,0.6666666667,3,0,0,
10/26/2021,0,McIver,16,230,70,55,65,63.33333333,14566.66667,25,3,11,13,3,0,0,
10/26/2021,0,McIver,44,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/26/2021,0,McIver,70,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/19/2021,0,Barlow,3,460,55,60,55,56.66666667,26066.66667,3,6,2,3.666666667,2,0,0,
10/19/2021,0,Barlow,3,870,62,70,45,59,51330,9,4,2,5,2,0,0,
10/19/2021,0,Barlow,3,290,55,55,60,56.66666667,16433.33333,0,0,0,0,1,0,0,
10/19/2021,0,Barlow,3,400,35,30,25,30,12000,6,17,16,13,2,2,TSHE,
10/19/2021,0,Barlow,3,170,40,46,47,44.33333333,7536.666667,11,0,11,7.333333333,2,1,TSHE,
10/19/2021,0,Barlow,3,260,28,29,30,29,7540,13,25,8,15.33333333,2,1,TSHE,
10/19/2021,0,Barlow,16,90,35,30,20,28.33333333,2550,3,0,9,4,3,3,TSHE,
10/19/2021,0,Barlow,16,165,35,32,32,33,5445,3,0,0,1,3,1,"ABSP, TSHE",
10/19/2021,0,Barlow,16,1010,30,23,24,25.66666667,25923.33333,3,4,7,4.666666667,2,2,0,
10/19/2021,0,Barlow,16,540,85,70,90,81.66666667,44100,24,35,42,33.66666667,4,0,0,
10/19/2021,0,Barlow,11,180,40,40,40,40,7200,9,10,11,10,2,0,0,
10/19/2021,0,Barlow,11,245,75,85,65,75,18375,17,20,18,18.33333333,4,1 SMSUB,TSHE,
10/19/2021,0,Barlow,14,480,25,35,41,33.66666667,16160,11,30,60,33.66666667,5,0,0,
10/19/2021,0,Barlow,14,120,35,40,44,39.66666667,4760,8,20,15,14.33333333,4,0,0,
10/19/2021,0,Barlow,14,100,50,49,52,50.33333333,5033.333333,11,6,13,10,2,0,0,
10/19/2021,0,Barlow,14,500,50,55,60,55,27500,0,4,11,5,1,0,0,
10/19/2021,0,Barlow,14,500,60,51,36,49,24500,0,0,2,0.6666666667,1,0,0,
10/19/2021,0,Barlow,10,500,45,48,50,47.66666667,23833.33333,0,2,0,0.6666666667,2,0,0,
10/19/2021,0,Barlow,10,170,35,40,40,38.33333333,6516.666667,20,20,23,21,4,0,0,
10/19/2021,0,Barlow,98,630,38,27,22,29,18270,0,0,0,0,1,0,0,
10/19/2021,0,Barlow,9,350,40,42,40,40.66666667,14233.33333,30,40,30,33.33333333,5,0,0,
,,,,,,,,,,,,,,,,,
10/19/2021,0,Barlow,114,950,95,110,95,100,95000,3,20,30,17.66666667,3,2 SMSUB,TSHE,
10/19/2021,0,Barlow,114,180,32,39,39,36.66666667,6600,10,15,13,12.66666667,4,0,0,
10/19/2021,0,Barlow,2,240,25,27,25,25.66666667,6160,0,0,0,0,2,0,0,
10/19/2021,0,Barlow,2,190,30,26,27,27.66666667,5256.666667,0,0,0,0,2,0,0,
10/19/2021,0,Barlow,2,500,80,104,110,98,49000,15,18,33,22,4,0,0,
10/19/2021,0,Barlow,2,80,40,39,40,39.66666667,3173.333333,0,0,0,0,1,0,0,
10/19/2021,0,Barlow,26,450,60,65,70,65,29250,15,14,4,11,2,0,0,
10/19/2021,0,Barlow,26,560,35,45,45,41.66666667,23333.33333,21,8,13,14,3,0,0,
10/19/2021,0,Barlow,26,340,30,45,67,47.33333333,16093.33333,15,8,21,14.66666667,4,0,0,
10/19/2021,0,Barlow,26,830,60,80,35,58.33333333,48416.66667,15,8,1,8,3,14,"TSHE, THPL",
10/19/2021,0,Barlow,26,275,45,45,,45,12375,11,14,5,10,3,3,"TSHE, THPL",
10/19/2021,0,Barlow,11,100,70,65,60,65,6500,17,7,5,9.666666667,2,1 SMSUB,TSHE,
10/19/2021,0,Barlow,25,500,60,62,64,62,31000,0,0,0,0,1,2,0,
10/19/2021,0,Barlow,25,240,30,27,29,28.66666667,6880,0,0,0,0,1,0,0,
10/14/2021,0,Oxbow,36,355,45,37,46,42.66666667,15146.66667,15,10,12,12.33333333,4,0,0,
10/14/2021,0,Oxbow,36,500,23,27,33,27.66666667,13833.33333,1,1,1,1,1,0,0,
10/14/2021,0,Oxbow,13,500,85,75,42,67.33333333,33666.66667,0,0,0,0,2,0,ACCI,
10/14/2021,0,Oxbow,13,1115,35,40,35,36.66666667,40883.33333,0,0,0,0,1,0,0,
10/14/2021,0,Oxbow,37,630,45,35,40,40,25200,13,15,16,14.66666667,3,0,0,
10/14/2021,0,Oxbow,37,225,75,70,80,75,16875,25,23,20,22.66666667,4,0,0,
10/14/2021,0,Oxbow,38,500,40,125,105,90,45000,2,0,0,0.6666666667,1,0,0,
10/14/2021,0,Oxbow,38,380,25,27,25,25.66666667,9753.333333,5,8,3,5.333333333,2,0,0,
10/14/2021,0,Oxbow,33,613,70,57,60,62.33333333,38210.33333,2,7,6,5,3,1,THPL,
10/14/2021,0,Oxbow,33,515,40,35,30,35,18025,0,6,6,4,2,0,0,
10/14/2021,0,Oxbow,33,450,25,30,32,29,13050,14,10,15,13,3,0,0,
10/14/2021,0,Oxbow,33,750,40,50,25,38.33333333,28750,0,0,0,0,1,0,0,
10/14/2021,0,Oxbow,33,500,25,25,20,23.33333333,11666.66667,0,0,0,0,1,0,0,
10/14/2021,0,Oxbow,41,180,45,40,40,41.66666667,7500,0,0,0,0,1,0,0,
10/14/2021,0,Oxbow,48,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/14/2021,0,Oxbow,46,260,20,28,20,22.66666667,5893.333333,0,0,0,0,1,0,0,
10/14/2021,0,Oxbow,35,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/21/2021,0,Sandy,26,115,20,20,20,20,2300,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,26,330,35,40,35,36.66666667,12100,24,20,33,25.66666667,5,0,0,
10/21/2021,0,Sandy,176,720,35,25,37,32.33333333,23280,2,0,0,0.6666666667,2,0,0,
10/21/2021,0,Sandy,176,500,110,110,90,103.3333333,51666.66667,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,176,475,55,65,50,56.66666667,26916.66667,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,176,264,45,46,50,47,12408,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,143,145,48,50,65,54.33333333,7878.333333,0,10,11,7,3,0,0,
10/21/2021,0,Sandy,143,100,40,45,45,43.33333333,4333.333333,0,0,0,0,2,0,0,
10/21/2021,0,Sandy,182,680,37,35,30,34,23120,0,0,0,0,2,0,0,
10/21/2021,0,Sandy,136,865,80,50,50,60,51900,5,5,2,4,2,0,0,
10/21/2021,0,Sandy,136,290,24,20,20,21.33333333,6186.666667,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,95,650,90,90,80,86.66666667,56333.33333,0,2,0,0.6666666667,1,0,0,
10/21/2021,0,Sandy,95,340,75,75,70,73.33333333,24933.33333,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,19,580,75,75,70,73.33333333,42533.33333,2,2,0,1.333333333,2,0,0,
10/21/2021,0,Sandy,53,710,73,50,60,61,43310,20,45,7,24,3,0,0,
10/21/2021,0,Sandy,53,280,35,30,30,31.66666667,8866.666667,5,8,13,8.666666667,3,0,0,
10/21/2021,0,Sandy,141,110,25,25,23,24.33333333,2676.666667,1,5,2,2.666666667,3,0,0,
10/21/2021,0,Sandy,141,140,30,40,45,38.33333333,5366.666667,0,0,0,0,2,0,0,
10/21/2021,0,Sandy,141,510,45,45,35,41.66666667,21250,30,7,0,12.33333333,2,0,0,
10/21/2021,0,Sandy,141,235,130,120,140,130,30550,5,10,5,6.666666667,4,1,TSHE SMSUB,
10/21/2021,0,Sandy,122,500,65,60,60,61.66666667,30833.33333,0,0,0,0,1,0,0,
10/21/2021,0,Sandy,122,430,45,50,60,51.66666667,22216.66667,11,12,12,11.66666667,3,0,0,
10/23/2021,0,Wildwood,1,320,37,37,40,38,12160,0,0,0,0,1,0,0,
10/23/2021,0,Wildwood,2,250,60,65,80,68.33333333,17083.33333,33,22,20,25,4,0,0,
10/23/2021,0,Wildwood,2,360,50,55,55,53.33333333,19200,0,0,0,0,1,0,0,
10/23/2021,0,Wildwood,2,270,55,55,65,58.33333333,15750,37,25,43,35,4,0,0,
10/23/2021,0,Wildwood,2,100,45,40,35,40,4000,23,35,20,26,4,0,0,
10/23/2021,0,Wildwood,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/23/2021,0,Wildwood,4,100,25,25,25,25,2500,0,0,0,0,1,0,0,
10/23/2021,0,Wildwood,4,310,32,40,35,35.66666667,11056.66667,0,0,0,0,2,0,0,
10/23/2021,0,Wildwood,4,185,25,30,25,26.66666667,4933.333333,3,6,0,3,2,0,0,
10/23/2021,0,Wildwood,5,430,20,25,25,23.33333333,10033.33333,2,10,0,4,2,0,0,
10/23/2021,0,Wildwood,5,260,80,95,95,90,23400,15,20,20,18.33333333,4,0,0,
10/23/2021,0,Wildwood,5,230,40,55,55,50,11500,6,0,11,5.666666667,3,0,0,
10/23/2021,0,Wildwood,6,920,60,55,51,55.33333333,50906.66667,25,3,10,12.66666667,2,0,0,
10/23/2021,0,Wildwood,6,500,25,30,35,30,15000,0,0,0,0,2,0,0,
10/23/2021,0,Wildwood,7,720,30,25,25,26.66666667,19200,0,0,8,2.666666667,2,0,0,
10/23/2021,0,Wildwood,7,500,25,20,25,23.33333333,11666.66667,0,10,3,4.333333333,2,0,0,
10/23/2021,0,Wildwood,8,705,50,45,70,55,38775,0,0,0,0,2,0,0,
10/23/2021,0,Wildwood,9,480,30,50,50,43.33333333,20800,35,20,20,25,4,0,0,
10/23/2021,0,Wildwood,9,465,25,25,31,27,12555,25,25,31,27,2,0,0,
10/23/2021,0,Wildwood,10,250,35,35,35,35,8750,0,0,0,0,2,0,0,
10/23/2021,0,Wildwood,10,550,45,25,35,35,19250,0,0,0,0,1,0,0,
10/23/2021,0,Wildwood,10,470,25,25,25,25,11750,0,0,0,0,1,0,0,
9/28/2021,1,Tryon,18,90,60,65,60,61.66666667,5550,23,18,32,24.33333333,5,0,0,
9/28/2021,1,Tryon,18,500,35,30,33,32.66666667,16333.33333,0,0,0,0,1,0,0,
9/28/2021,1,Tryon,18,300,30,35,35,33.33333333,10000,12,9,0,7,2,0,0,
9/28/2021,1,Tryon,20,90,50,48,44,47.33333333,4260,11,7,5,7.666666667,4,0,0,
9/28/2021,1,Tryon,20,845,28,28,26,27.33333333,23096.66667,0,0,0,0,1,0,0,
9/28/2021,1,Tryon,20,90,20,24,23,22.33333333,2010,1,0,0,0.3333333333,1,0,0,
9/28/2021,1,Tryon,13,70,80,80,90,83.33333333,5833.333333,17,15,25,19,5,0,0,
9/28/2021,1,Tryon,13,550,28,25,22,25,13750,0,0,0,0,2,0,0,
9/28/2021,1,Tryon,11,200,21,23,35,26.33333333,5266.666667,0,4,16,6.666666667,2,0,0,
9/28/2021,1,Tryon,11,730,45,30,15,30,21900,2,1,0,1,1,0,0,
9/28/2021,1,Tryon,11,630,23,25,17,21.66666667,13650,0,0,0,0,1,0,0,
9/28/2021,1,Tryon,40,152,17,15,20,17.33333333,2634.666667,0,0,0,0,1,0,0,
9/28/2021,1,Tryon,40,420,25,24,23,24,10080,1,1,1,1,1,0,0,
9/28/2021,1,Tryon,40,860,37,25,30,30.66666667,26373.33333,3,2,0,1.666666667,1,0,0,
9/28/2021,1,Tryon,1,100,25,25,27,25.66666667,2566.666667,1,3,2,2,2,0,0,
9/28/2021,1,Tryon,15,970,30,26,20,25.33333333,24573.33333,8,1,4,4.333333333,2,0,0,
9/28/2021,1,Tryon,15,1010,60,50,50,53.33333333,53866.66667,6,5,2,4.333333333,1,0,0,
9/28/2021,1,Tryon,15,230,22,24,26,24,5520,6,2,4,4,2,0,0,
9/28/2021,1,Tryon,15,90,35,43,42,40,3600,42,42,40,41.33333333,3,0,0,
9/28/2021,1,Tryon,27,250,35,35,33,34.33333333,8583.333333,25,10,20,18.33333333,3,0,0,
9/28/2021,1,Tryon,27,480,32,30,31,31,14880,6,1,3,3.333333333,2,0,0,
9/28/2021,1,Tryon,27,405,34,26,36,32,12960,11,15,10,12,2,0,0,
9/28/2021,1,Tryon,27,1170,63,60,54,59,69030,12,13,9,11.33333333,2,0,0,
9/28/2021,1,Tryon,27,690,30,28,38,32,22080,3,10,23,12,2,0,0,
9/28/2021,1,Tryon,39,55,35,28,30,31,1705,11,20,15,15.33333333,3,0,0,
9/28/2021,1,Tryon,21,270,25,24,21,23.33333333,6300,0,1,0,0.3333333333,1,0,0,
9/28/2021,1,Tryon,21,350,20,23,26,23,8050,1,0,0,0.3333333333,1,0,0,
9/28/2021,1,Tryon,21,400,20,21,25,22,8800,0,0,0,0,1,0,0,
9/28/2021,1,Tryon,21,230,24,28,20,24,5520,10,3,20,11,2,0,0,
9/30/2021,1,RVNA,6,65,26,30,22,26,1690,3,0,0,1,2,0,0,
9/30/2021,1,RVNA,6,140,33,23,23,26.33333333,3686.666667,0,0,0,0,2,0,0,
9/30/2021,1,RVNA,17,185,27,30,31,29.33333333,5426.666667,0,0,0,0,1,0,0,
9/30/2021,1,RVNA,17,420,40,43,45,42.66666667,17920,23,17,6,15.33333333,5,0,0,
9/30/2021,1,RVNA,17,350,25,24,19,22.66666667,7933.333333,2,0,0,0.6666666667,2,0,0,
9/30/2021,1,RVNA,17,271,35,40,33,36,9756,0,1,1,0.6666666667,1,0,0,
9/30/2021,1,RVNA,20,440,30,25,32,29,12760,0,0,0,0,1,0,0,
9/30/2021,1,RVNA,1,155,25,32,30,29,4495,0,0,0,0,1,0,0,
9/30/2021,1,RVNA,1,172,31,33,33,32.33333333,5561.333333,1,0,0,0.3333333333,2,0,0,
9/30/2021,1,RVNA,1,85,47,50,45,47.33333333,4023.333333,18,12,11,13.66666667,4,0,0,
9/30/2021,1,RVNA,15,105,40,30,35,35,3675,17,25,26,22.66666667,3,0,0,
9/30/2021,1,RVNA,15,80,55,40,26,40.33333333,3226.666667,15,13,23,17,3,0,0,
9/30/2021,1,RVNA,15,155,28,46,32,35.33333333,5476.666667,17,13,16,15.33333333,4,0,0,
9/30/2021,1,RVNA,29,230,30,35,30,31.66666667,7283.333333,0,1,1,0.6666666667,2,0,0,
9/30/2021,1,RVNA,29,490,30,25,20,25,12250,0,0,0,0,1,0,0,
9/30/2021,1,RVNA,5,550,26,30,30,28.66666667,15766.66667,0,0,0,0,1,0,0,
9/30/2021,1,RVNA,5,145,45,23,27,31.66666667,4591.666667,4,6,1,3.666666667,2,1,ACMA,
9/30/2021,1,RVNA,10,100,30,35,32,32.33333333,3233.333333,0,0,0,0,1,0,0,
9/30/2021,1,RVNA,10,930,15,20,28,21,19530,0,0,0,0,1,0,0,
10/5/2021,1,Lacamas,33,110,25,25,23,24.33333333,2676.666667,0,0,0,0,1,0,0,
10/5/2021,1,Lacamas,24,3800,27,33,32,30.66666667,116533.3333,1,0,1,0.6666666667,2,0,0,
10/5/2021,1,Lacamas,24,120,35,36,37,36,4320,0,0,0,0,1,0,0,
10/5/2021,1,Lacamas,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/5/2021,1,Lacamas,3,250,21,20,21,20.66666667,5166.666667,0,0,0,0,1,0,0,
10/5/2021,1,Lacamas,3,240,33,38,45,38.66666667,9280,0,0,11,3.666666667,2,0,0,
10/5/2021,1,Lacamas,39,290,33,40,34,35.66666667,10343.33333,0,0,0,0,2,0,0,
10/5/2021,1,Lacamas,39,250,23,26,25,24.66666667,6166.666667,8,5,6,6.333333333,2,0,0,
10/5/2021,1,Lacamas,39,250,45,50,55,50,12500,45,4,6,18.33333333,3,0,0,
10/5/2021,1,Lacamas,39,460,65,45,30,46.66666667,21466.66667,3,5,0,2.666666667,2,0,0,
10/5/2021,1,Lacamas,47,480,24,20,20,21.33333333,10240,0,0,1,0.3333333333,2,0,0,
10/5/2021,1,Lacamas,47,130,32,30,20,27.33333333,3553.333333,27,14,17,19.33333333,4,0,0,
10/5/2021,1,Lacamas,19,280,20,25,35,26.66666667,7466.666667,24,6,5,11.66666667,3,0,0,
10/5/2021,1,Lacamas,19,360,28,28,17,24.33333333,8760,1,0,0,0.3333333333,2,0,0,
10/5/2021,1,Lacamas,21,240,25,25,25,25,6000,2,0,40,14,2,0,0,
10/5/2021,1,Lacamas,21,165,23,26,16,21.66666667,3575,30,42,28,33.33333333,5,0,0,
10/5/2021,1,Lacamas,21,510,21,25,50,32,16320,4,8,26,12.66666667,4,0,0,
10/5/2021,1,Lacamas,11,960,25,34,40,33,31680,4,6,5,5,2,0,0,
10/12/2021,1,Marquam,1,510,23,20,25,22.66666667,11560,0,0,0,0,2,0,0,
10/12/2021,1,Marquam,2,410,21,20,20,20.33333333,8336.666667,0,0,0,0,1,0,0,
10/12/2021,1,Marquam,2,270,26,30,24,26.66666667,7200,1,0,1,0.6666666667,2,0,0,
10/12/2021,1,Marquam,31,350,20,19,24,21,7350,5,4,10,6.333333333,3,0,0,
10/12/2021,1,Marquam,19,240,20,21,21,20.66666667,4960,0,0,1,0.3333333333,2,0,0,
10/12/2021,1,Marquam,19,80,24,25,30,26.33333333,2106.666667,1,1,1,1,2,0,0,
10/12/2021,1,Marquam,9,435,40,43,45,42.66666667,18560,50,30,25,35,4,0,0,
10/12/2021,1,Marquam,9,210,35,37,34,35.33333333,7420,10,7,5,7.333333333,2,0,0,
10/12/2021,1,Marquam,30,180,19,21,19,19.66666667,3540,0,0,0,0,2,0,0,
10/12/2021,1,Marquam,12,220,23,25,19,22.33333333,4913.333333,0,0,0,0,2,0,0,
10/12/2021,1,Marquam,20,100,25,25,26,25.33333333,2533.333333,0,0,6,2,2,0,0,
10/12/2021,1,Marquam,6,265,45,40,40,41.66666667,11041.66667,23,37,6,22,2,0,0,
10/12/2021,1,Marquam,6,280,27,29,25,27,7560,0,0,0,0,2,0,0,
10/12/2021,1,Marquam,12,140,20,17,25,20.66666667,2893.333333,0,0,2,0.6666666667,2,0,0,
10/28/2021,1,FP,43,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/28/2021,1,FP,44,500,27,25,20,24,12000,0,0,0,0,1,0,0,
10/28/2021,1,FP,31,120,50,50,55,51.66666667,6200,30,27,17,24.66666667,4,0,0,
10/28/2021,1,FP,31,270,25,25,30,26.66666667,7200,0,0,0,0,1,0,0,
10/28/2021,1,FP,18,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/28/2021,1,FP,46,500,75,75,75,75,37500,27,27,50,34.66666667,4,0,0,
10/28/2021,1,FP,46,260,25,25,40,30,7800,15,0,0,5,2,0,0,
10/28/2021,1,FP,46,240,25,25,23,24.33333333,5840,0,0,0,0,1,0,0,
10/28/2021,1,FP,15,840,35,65,45,48.33333333,40600,0,0,0,0,1,0,0,
10/28/2021,1,FP,15,260,20,23,20,21,5460,0,0,0,0,2,0,0,
10/28/2021,1,FP,15,120,25,25,27,25.66666667,3080,2,10,6,6,2,0,0,
10/28/2021,1,FP,144,335,43,47,60,50,16750,40,39,30,36.33333333,4,0,0,
10/28/2021,1,FP,144,117,21,20,22,21,2457,0,0,0,0,2,0,0,
10/28/2021,1,FP,48,330,55,60,57,57.33333333,18920,0,0,0,0,2,0,0,
10/28/2021,1,FP,48,310,45,50,50,48.33333333,14983.33333,0,0,0,0,2,0,0,
10/28/2021,1,FP,48,155,60,58,55,57.66666667,8938.333333,0,0,0,0,2,0,0,
10/28/2021,1,FP,48,105,30,27,25,27.33333333,2870,0,0,0,0,1,0,0,
10/28/2021,1,FP,14,630,37,30,50,39,24570,5,2,0,2.333333333,2,0,0,
10/28/2021,1,FP,14,600,37,33,30,33.33333333,20000,3,5,0,2.666666667,2,0,0,
10/28/2021,1,FP,14,270,30,25,40,31.66666667,8550,4,6,0,3.333333333,2,0,0,
10/28/2021,1,FP,14,240,50,45,47,47.33333333,11360,0,0,0,0,2,0,0,
9/30/2021,1,RVNA,11,265,,,,,546021.0871,10,11,9,10,3,0,0,
9/30/2021,1,RVNA,11,280,,,,,609584.2397,25,18,10,17.66666667,3,15,ACMA,
9/30/2021,1,RVNA,11,110,,,,,94081.24107,1,1,1,1,2,0,0,
9/30/2021,1,RVNA,29,190,,,,,280688.6614,17,28,5,16.66666667,3,0,0,
9/30/2021,1,RVNA,10,285,,,,,631549.4881,4,0,6,3.333333333,3,0,0,
9/30/2021,1,RVNA,18,137,,,,,145934.778,38,36,22,32,4,0,0,
9/30/2021,1,RVNA,18,175,,,,,238118.8436,20,18,21,19.66666667,4,0,0,
9/30/2021,1,RVNA,1,62,,,,,29888.28849,11,17,10,12.66666667,3,0,0,
9/28/2021,1,Tryon,18,100,,,,,77753.0918,20,36,22,26,4,0,0,
9/28/2021,1,Tryon,18,115,,,,,102828.4639,15,40,21,25.33333333,4,0,0,
9/28/2021,1,Tryon,18,60,,,,,27991.11305,22,22,20,21.33333333,3,0,0,
9/28/2021,1,Tryon,13,220,,,,,376324.9643,0,10,8,6,3,0,0,
10/5/2021,1,Lacamas,41,110,,,,,94081.24107,5,4,5,4.666666667,3,0,0,
10/5/2021,1,Lacamas,3,200,,,,,311012.3672,0,18,8,8.666666667,3,0,0,
10/12/2021,1,Marquam,12,210,,,,,342891.1348,11,7,7,8.333333333,2,0,0,
10/12/2021,1,Marquam,18,100,,,,,77753.0918,7,8,10,8.333333333,3,0,0,
10/12/2021,1,Marquam,9,140,,,,,152396.0599,50,14,50,38,4,0,0,
10/12/2021,1,Marquam,12,100,,,,,77753.0918,0,5,10,5,2,0,0,
10/26/2021,0,McIver,90,165,,,,,211682.7924,1,0,0,0.3333333333,2,0,0,
10/26/2021,0,McIver,25,190,,,,,280688.6614,7,8,9,8,2,0,0,
10/26/2021,0,McIver,40,400,,,,,1244049.469,35,30,10,25,3,1 LGSUB,TSHE,
10/19/2021,0,Barlow,26,255,,,,,505589.4794,9,9,9,9,2,0,0,
10/19/2021,0,Barlow,2,110,,,,,94081.24107,33,3,16,17.33333333,2,0,0,
10/19/2021,0,Barlow,14,255,,,,,505589.4794,4,4,2,3.333333333,2,1 SMSUB,TSHE,
10/14/2021,0,Oxbow,37,230,,,,,411313.8556,15,16,7,12.66666667,3,0,0,
10/14/2021,0,Oxbow,13,450,,,,,1574500.109,0,0,5,1.666666667,3,0,0,
10/14/2021,0,Oxbow,12,300,,,,,699777.8262,15,20,15,16.66666667,3,0,0,
10/28/2021,1,FP,4,165,,,,,211682.7924,11,18,5,11.33333333,2,0,0,
10/23/2021,0,Wildwood,2,200,,,,,311012.3672,30,40,40,36.66666667,4,1,TSHE,25 cm tall
10/23/2021,0,Wildwood,6,260,,,,,525610.9005,30,5,15,16.66666667,4,0,0,
,,,7,141,,,,,154580.9218,30,13,19,20.66666667,3,0,0,
10/23/2021,0,Wildwood,7,257,,,,,513551.396,20,15,35,23.33333333,4,1,,ITSHETALL 40
10/23/2021,0,Wildwood,8,365,,,,,1035865.565,31,7,45,27.66666667,3,0,0,
10/23/2021,0,Wildwood,9,300,,,,,699777.8262,40,15,10,21.66666667,3,0,0,
10/21/2021,0,Sandy,176,241,,,,,451597.7325,1,2,36,13,3,0,0,
10/21/2021,0,Sandy,143,260,,,,,525610.9005,10,31,50,30.33333333,4,5,ACCI SEEDLINGS,
10/19/2021,0,Barlow,9,190,,,,,280688.6614,40,40,50,43.33333333,43.33333333,4,2 SMSUB,TSHE